callback_index,simulation_time,month,day,hour,minute,core_zn_temp,core_zn_co2,core_zn_pmv,core_zn_occ,occupancy_source,perimeter_zn_1_temp,perimeter_zn_2_temp,perimeter_zn_3_temp,perimeter_zn_4_temp,electricity_meter_joules,electricity_meter_kwh,facility_demand_kw
1,Day 21/01 00:13,1,21,0,13,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.80,20.86,20.90,20.86,0.00,0.0000,0.00
2,Day 21/01 00:20,1,21,0,20,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
3,Day 21/01 00:30,1,21,0,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
4,Day 21/01 00:42,1,21,0,42,18.96,400.0,-1.09,0.0,ENERGYPLUS,17.87,17.75,17.98,17.75,0.00,0.0000,0.00
5,Day 21/01 00:53,1,21,0,53,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.90,20.86,0.00,0.0000,0.00
6,Day 21/01 01:00,1,21,1,0,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
7,Day 21/01 01:10,1,21,1,10,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
8,Day 21/01 01:22,1,21,1,22,18.96,400.0,-1.10,0.0,ENERGYPLUS,17.86,17.74,17.97,17.74,0.00,0.0000,0.00
9,Day 21/01 01:33,1,21,1,33,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00
10,Day 21/01 01:40,1,21,1,40,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
11,Day 21/01 01:50,1,21,1,50,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
12,Day 21/01 02:02,1,21,2,2,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.86,17.74,17.97,17.74,0.00,0.0000,0.00
13,Day 21/01 02:13,1,21,2,13,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00
14,Day 21/01 02:20,1,21,2,20,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
15,Day 21/01 02:30,1,21,2,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
16,Day 21/01 02:42,1,21,2,42,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.73,17.96,17.73,0.00,0.0000,0.00
17,Day 21/01 02:53,1,21,2,53,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00
18,Day 21/01 03:00,1,21,3,0,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
19,Day 21/01 03:10,1,21,3,10,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
20,Day 21/01 03:22,1,21,3,22,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.73,17.96,17.73,0.00,0.0000,0.00
21,Day 21/01 03:33,1,21,3,33,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00
22,Day 21/01 03:40,1,21,3,40,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
23,Day 21/01 03:50,1,21,3,50,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
24,Day 21/01 04:02,1,21,4,2,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.72,17.96,17.73,0.00,0.0000,0.00
25,Day 21/01 04:13,1,21,4,13,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00
26,Day 21/01 04:20,1,21,4,20,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
27,Day 21/01 04:30,1,21,4,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00
28,Day 21/01 04:42,1,21,4,42,18.94,400.0,-1.10,0.0,ENERGYPLUS,17.84,17.72,17.95,17.72,0.00,0.0000,0.00
29,Day 21/01 04:53,1,21,4,53,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.78,20.86,20.88,20.86,0.00,0.0000,0.00
